"country","nuts1_id","nuts2_id","nuts2_name","fund","year","programming_period","eu_payment_annual","modelled_annual_expenditure","standard_deviation_of_annual","standard_error_of_modelled"
"AT","AT1","AT11","Burgenland","EAFRD","1994","1994-1999","0","715213","93168","2948"
"AT","AT1","AT11","Burgenland","EAFRD","1995","1994-1999","2230000","3154560","120438","3810"
"AT","AT1","AT11","Burgenland","EAFRD","1996","1994-1999","5112734","5089406","3039","96"
"AT","AT1","AT11","Burgenland","EAFRD","1997","1994-1999","5040000","3424693","210419","6657"
"AT","AT1","AT11","Burgenland","EAFRD","1998","1994-1999","3550","4067059","529335","16747"
"AT","AT1","AT11","Burgenland","EAFRD","1999","1994-1999","12673379","8659001","524443","16593"
"AT","AT1","AT11","Burgenland","EAFRD","2000","1994-1999","51097","178251","92599","2930"
"AT","AT1","AT11","Burgenland","EAFRD","2001","1994-1999","45700","501072","135795","4296"
"AT","AT1","AT11","Burgenland","EAFRD","2002","1994-1999","0","1340230","82431","2608"
"AT","AT1","AT11","Burgenland","EAFRD","2003","1994-1999","166084","0","0","0"
"AT","AT1","AT11","Burgenland","EAFRD","2004","1994-1999","1806940","0","0","0"
"AT","AT1","AT11","Burgenland","EAFRD","2000","2000-2006","2894182","3319612","101697","3218"
"AT","AT1","AT11","Burgenland","EAFRD","2001","2000-2006","2074650","3172510","262439","8303"
"AT","AT1","AT11","Burgenland","EAFRD","2002","2000-2006","7428473","7283873","34566","1094"
"AT","AT1","AT11","Burgenland","EAFRD","2003","2000-2006","6723318","6280405","105877","3350"
"AT","AT1","AT11","Burgenland","EAFRD","2004","2000-2006","4563405","5519494","228549","7231"
"AT","AT1","AT11","Burgenland","EAFRD","2005","2000-2006","9225865","8466410","181545","5744"
"AT","AT1","AT11","Burgenland","EAFRD","2006","2000-2006","5522307","5563845","181545","5744"
"AT","AT1","AT11","Burgenland","EAFRD","2007","2000-2006","5724870","4828466","231414","7322"
"AT","AT1","AT11","Burgenland","EAFRD","2008","2000-2006","976073","1165696","93393","2955"
"AT","AT1","AT11","Burgenland","EAFRD","2009","2000-2006","0","1811016","111674","3533"
"AT","AT1","AT11","Burgenland","EAFRD","2010","2000-2006","2278183","0","0","0"
"AT","AT1","AT11","Burgenland","EAFRD","2007","2007-2013","33163206","41276525","1736454","54939"
"AT","AT1","AT11","Burgenland","EAFRD","2008","2007-2013","36731643","39004661","486483","15392"
"AT","AT1","AT11","Burgenland","EAFRD","2009","2007-2013","47022337","46840263","38968","1233"
"AT","AT1","AT11","Burgenland","EAFRD","2010","2007-2013","46198027","45362768","178766","5656"
"AT","AT1","AT11","Burgenland","EAFRD","2011","2007-2013","42416538","43636592","261122","8262"
"AT","AT1","AT11","Burgenland","EAFRD","2012","2007-2013","47940124","47740570","261122","8262"
"AT","AT1","AT11","Burgenland","EAFRD","2013","2007-2013","47036679","41157206","1258355","39813"
"AT","AT1","AT11","Burgenland","EAFRD","2014","2007-2013","20418383","17288483","669877","21194"
"AT","AT1","AT11","Burgenland","EAFRD","2015","2007-2013","6248301","4868170","295383","9345"
"AT","AT1","AT11","Burgenland","ERDF","1994","1994-1999","0","3963435","398832","12618"
"AT","AT1","AT11","Burgenland","ERDF","1995","1994-1999","9980000","8582066","140671","4451"
"AT","AT1","AT11","Burgenland","ERDF","1996","1994-1999","6459976","11474680","504619","15965"
"AT","AT1","AT11","Burgenland","ERDF","1997","1994-1999","19087090","21207007","213323","6749"
"AT","AT1","AT11","Burgenland","ERDF","1998","1994-1999","24425078","24905600","1494835","47294"
"AT","AT1","AT11","Burgenland","ERDF","1999","1994-1999","23509169","23065888","1175089","37178"
"AT","AT1","AT11","Burgenland","ERDF","2000","1994-1999","23198372","15980328","800201","25317"
"AT","AT1","AT11","Burgenland","ERDF","2001","1994-1999","5077077","4205370","315158","9971"
"AT","AT1","AT11","Burgenland","ERDF","2002","1994-1999","48719","2501100","165795","5246"
"AT","AT1","AT11","Burgenland","ERDF","2003","1994-1999","4099033","0","0","0"
"AT","AT1","AT11","Burgenland","ERDF","2004","1994-1999","957","0","0","0"
"AT","AT1","AT11","Burgenland","ERDF","2000","2000-2006","12167094","14346661","428202","13548"
"AT","AT1","AT11","Burgenland","ERDF","2001","2000-2006","9133610","13068991","773152","24461"
"AT","AT1","AT11","Burgenland","ERDF","2002","2000-2006","25625062","25833418","40934","1295"
"AT","AT1","AT11","Burgenland","ERDF","2003","2000-2006","26498190","26638887","27642","875"
"AT","AT1","AT11","Burgenland","ERDF","2004","2000-2006","27087788","24869669","435776","13787"
"AT","AT1","AT11","Burgenland","ERDF","2005","2000-2006","17792624","17004351","154866","4900"
"AT","AT1","AT11","Burgenland","ERDF","2006","2000-2006","14489317","16002319","154866","4900"
"AT","AT1","AT11","Burgenland","ERDF","2007","2000-2006","20829646","21433689","386319","12223"
"AT","AT1","AT11","Burgenland","ERDF","2008","2000-2006","21860454","18451610","763501","24156"
"AT","AT1","AT11","Burgenland","ERDF","2009","2000-2006","0","6910145","425499","13462"
"AT","AT1","AT11","Burgenland","ERDF","2011","2000-2006","9075954","0","0","0"
"AT","AT1","AT11","Burgenland","ERDF","2007","2007-2013","2500539","3880852","155780","4929"
"AT","AT1","AT11","Burgenland","ERDF","2008","2007-2013","3750809","6215157","278123","8799"
"AT","AT1","AT11","Burgenland","ERDF","2009","2007-2013","10447335","11016085","64188","2031"
"AT","AT1","AT11","Burgenland","ERDF","2010","2007-2013","11992836","14147741","243200","7695"
"AT","AT1","AT11","Burgenland","ERDF","2011","2007-2013","17848494","14008769","433346","13710"
"AT","AT1","AT11","Burgenland","ERDF","2012","2007-2013","7414570","12868731","433346","13710"
"AT","AT1","AT11","Burgenland","ERDF","2013","2007-2013","19030438","24267210","1728845","54698"
"AT","AT1","AT11","Burgenland","ERDF","2014","2007-2013","34234868","25067896","1325238","41929"
"AT","AT1","AT11","Burgenland","ERDF","2015","2007-2013","11555726","7303174","479938","15185"
"AT","AT1","AT11","Burgenland","ESF","2000","2000-2006","3850934","5499298","402440","12733"
"AT","AT1","AT11","Burgenland","ESF","2001","2000-2006","8239325","7854074","94057","2976"
"AT","AT1","AT11","Burgenland","ESF","2002","2000-2006","6313654","6002089","76067","2407"
"AT","AT1","AT11","Burgenland","ESF","2003","2000-2006","4756301","5921497","284477","9000"
"AT","AT1","AT11","Burgenland","ESF","2004","2000-2006","10580520","10284769","72206","2284"
"AT","AT1","AT11","Burgenland","ESF","2005","2000-2006","9102215","8830144","66425","2102"
"AT","AT1","AT11","Burgenland","ESF","2006","2000-2006","7742272","7100283","66425","2102"
"AT","AT1","AT11","Burgenland","ESF","2007","2000-2006","4533298","4993496","143671","4546"
"AT","AT1","AT11","Burgenland","ESF","2008","2000-2006","6408960","5572241","222586","7042"
"AT","AT1","AT11","Burgenland","ESF","2009","2000-2006","0","2120848","129498","4097"
"AT","AT1","AT11","Burgenland","ESF","2013","2000-2006","2651261","0","0","0"
"AT","AT1","AT11","Burgenland","ESF","2007","2007-2013","1042800","1397576","74404","2354"
"AT","AT1","AT11","Burgenland","ESF","2008","2007-2013","1564200","3683226","444406","14060"
"AT","AT1","AT11","Burgenland","ESF","2009","2007-2013","10906935","10113273","166448","5266"
"AT","AT1","AT11","Burgenland","ESF","2010","2007-2013","7407700","7363060","9362","296"
"AT","AT1","AT11","Burgenland","ESF","2011","2007-2013","7210883","7361553","31599","1000"
"AT","AT1","AT11","Burgenland","ESF","2012","2007-2013","7875184","8002161","31599","1000"
"AT","AT1","AT11","Burgenland","ESF","2013","2007-2013","8435024","7676401","159100","5034"
"AT","AT1","AT11","Burgenland","ESF","2014","2007-2013","5090274","3935749","242129","7661"
"AT","AT1","AT12","Niederösterreich","EAFRD","1994","1994-1999","0","1499729","172840","5468"
"AT","AT1","AT12","Niederösterreich","EAFRD","1995","1994-1999","4235000","3801299","49983","1581"
"AT","AT1","AT12","Niederösterreich","EAFRD","1996","1994-1999","3010298","4414661","161849","5121"
"AT","AT1","AT12","Niederösterreich","EAFRD","1997","1994-1999","6976000","7903409","106882","3382"
"AT","AT1","AT12","Niederösterreich","EAFRD","1998","1994-1999","9594858","8844245","86506","2737"
"AT","AT1","AT12","Niederösterreich","EAFRD","1999","1994-1999","7475245","9650827","254486","8052"
"AT","AT1","AT12","Niederösterreich","EAFRD","2000","1994-1999","13517796","8880276","543294","17189"
"AT","AT1","AT12","Niederösterreich","EAFRD","2001","1994-1999","20705","529726","141774","4486"
"AT","AT1","AT12","Niederösterreich","EAFRD","2002","1994-1999","0","1266242","80013","2532"
"AT","AT1","AT12","Niederösterreich","EAFRD","2003","1994-1999","1960513","0","0","0"
"AT","AT1","AT12","Niederösterreich","EAFRD","2000","2000-2006","0","662290","60307","1908"
"AT","AT1","AT12","Niederösterreich","EAFRD","2001","2000-2006","1424243","964792","41837","1324"
"AT","AT1","AT12","Niederösterreich","EAFRD","2002","2000-2006","436201","799680","33098","1047"
"AT","AT1","AT12","Niederösterreich","EAFRD","2003","2000-2006","1217855","1584764","33410","1057"
"AT","AT1","AT12","Niederösterreich","EAFRD","2004","2000-2006","2006886","2804432","388705","12298"
"AT","AT1","AT12","Niederösterreich","EAFRD","2005","2000-2006","3278335","3529496","386298","12222"
"AT","AT1","AT12","Niederösterreich","EAFRD","2006","2000-2006","3205220","3832706","386298","12222"
"AT","AT1","AT12","Niederösterreich","EAFRD","2007","2000-2006","4710882","3758273","328863","10405"
"AT","AT1","AT12","Niederösterreich","EAFRD","2008","2000-2006","3390731","1970499","134677","4261"
"AT","AT1","AT12","Niederösterreich","EAFRD","2009","2000-2006","0","272179","21542","682"
"AT","AT1","AT12","Niederösterreich","EAFRD","2010","2000-2006","508757","0","0","0"
"AT","AT1","AT12","Niederösterreich","EAFRD","2007","2007-2013","104997965","126209865","6173803","195330"
"AT","AT1","AT12","Niederösterreich","EAFRD","2008","2007-2013","121323353","123451381","619370","19596"
"AT","AT1","AT12","Niederösterreich","EAFRD","2009","2007-2013","133494795","131939737","452606","14320"
"AT","AT1","AT12","Niederösterreich","EAFRD","2010","2007-2013","124600500","122614295","578092","18290"
"AT","AT1","AT12","Niederösterreich","EAFRD","2011","2007-2013","113240227","114582585","390698","12361"
"AT","AT1","AT12","Niederösterreich","EAFRD","2012","2007-2013","120917966","121825220","390698","12361"
"AT","AT1","AT12","Niederösterreich","EAFRD","2013","2007-2013","126107087","112879142","3850043","121810"
"AT","AT1","AT12","Niederösterreich","EAFRD","2014","2007-2013","50448678","43915047","1901638","60165"
"AT","AT1","AT12","Niederösterreich","EAFRD","2015","2007-2013","13078997","10792295","665553","21057"
"AT","AT1","AT12","Niederösterreich","ERDF","1994","1994-1999","0","3628338","394417","12479"
"AT","AT1","AT12","Niederösterreich","ERDF","1995","1994-1999","9814300","7904680","207584","6568"
"AT","AT1","AT12","Niederösterreich","ERDF","1996","1994-1999","4648965","9885204","569203","18009"
"AT","AT1","AT12","Niederösterreich","ERDF","1997","1994-1999","18812483","15060352","407874","12905"
"AT","AT1","AT12","Niederösterreich","ERDF","1998","1994-1999","8663334","9960923","804361","25449"
"AT","AT1","AT12","Niederösterreich","ERDF","1999","1994-1999","11009374","11681175","609928","19297"
"AT","AT1","AT12","Niederösterreich","ERDF","2000","1994-1999","13275646","9120184","591268","18707"
"AT","AT1","AT12","Niederösterreich","ERDF","2001","1994-1999","353518","2280607","584559","18495"
"AT","AT1","AT12","Niederösterreich","ERDF","2002","1994-1999","3003367","5018966","320009","10125"
"AT","AT1","AT12","Niederösterreich","ERDF","2003","1994-1999","4954169","0","0","0"
"AT","AT1","AT12","Niederösterreich","ERDF","2004","1994-1999","5273","0","0","0"
"AT","AT1","AT12","Niederösterreich","ERDF","2000","2000-2006","0","5988256","958303","30319"
"AT","AT1","AT12","Niederösterreich","ERDF","2001","2000-2006","21458264","19833333","260038","8227"
"AT","AT1","AT12","Niederösterreich","ERDF","2002","2000-2006","15635501","18405667","443311","14026"
"AT","AT1","AT12","Niederösterreich","ERDF","2003","2000-2006","25562088","25162889","63884","2021"
"AT","AT1","AT12","Niederösterreich","ERDF","2004","2000-2006","24131602","25424279","206868","6545"
"AT","AT1","AT12","Niederösterreich","ERDF","2005","2000-2006","28763768","26766315","319653","10113"
"AT","AT1","AT12","Niederösterreich","ERDF","2006","2000-2006","21606112","24165133","319653","10113"
"AT","AT1","AT12","Niederösterreich","ERDF","2007","2000-2006","28923526","24700229","881407","27886"
"AT","AT1","AT12","Niederösterreich","ERDF","2008","2000-2006","13015731","11513938","570411","18047"
"AT","AT1","AT12","Niederösterreich","ERDF","2009","2000-2006","10260850","7397403","458239","14498"
"AT","AT1","AT12","Niederösterreich","ERDF","2007","2007-2013","2912936","4517380","181522","5743"
"AT","AT1","AT12","Niederösterreich","ERDF","2008","2007-2013","4369404","7634489","369402","11687"
"AT","AT1","AT12","Niederösterreich","ERDF","2009","2007-2013","13261257","13285003","2687","85"
"AT","AT1","AT12","Niederösterreich","ERDF","2010","2007-2013","13325925","14194929","98317","3111"
"AT","AT1","AT12","Niederösterreich","ERDF","2011","2007-2013","15692497","13307134","269873","8538"
"AT","AT1","AT12","Niederösterreich","ERDF","2012","2007-2013","9196404","20922219","269873","8538"
"AT","AT1","AT12","Niederösterreich","ERDF","2013","2007-2013","38346772","33147566","1292899","40906"
"AT","AT1","AT12","Niederösterreich","ERDF","2014","2007-2013","23552312","20150772","1332613","42162"
"AT","AT1","AT12","Niederösterreich","ERDF","2015","2007-2013","17706948","11204963","735615","23274"
"AT","AT1","AT12","Niederösterreich","ESF","2000","2000-2006","5596567","6991393","562730","17804"
"AT","AT1","AT12","Niederösterreich","ESF","2001","2000-2006","10339920","10666960","131941","4174"
"AT","AT1","AT12","Niederösterreich","ESF","2002","2000-2006","12764286","12527312","95605","3025"
"AT","AT1","AT12","Niederösterreich","ESF","2003","2000-2006","11007586","11625490","249288","7887"
"AT","AT1","AT12","Niederösterreich","ESF","2004","2000-2006","15588140","15917119","132723","4199"
"AT","AT1","AT12","Niederösterreich","ESF","2005","2000-2006","18026876","17595773","173925","5503"
"AT","AT1","AT12","Niederösterreich","ESF","2006","2000-2006","14831082","13278907","173925","5503"
"AT","AT1","AT12","Niederösterreich","ESF","2007","2000-2006","3324722","2958424","147780","4676"
"AT","AT1","AT12","Niederösterreich","ESF","2008","2000-2006","609337","1087790","193028","6107"
"AT","AT1","AT12","Niederösterreich","ESF","2009","2000-2006","0","3595487","226190","7156"
"AT","AT1","AT12","Niederösterreich","ESF","2013","2000-2006","4156139","0","0","0"
"AT","AT1","AT12","Niederösterreich","ESF","2007","2007-2013","1335480","1851494","91549","2896"
"AT","AT1","AT12","Niederösterreich","ESF","2008","2007-2013","2003221","5073816","544771","17236"
"AT","AT1","AT12","Niederösterreich","ESF","2009","2007-2013","13923606","11960378","348307","11020"
"AT","AT1","AT12","Niederösterreich","ESF","2010","2007-2013","6302143","6008803","52043","1647"
"AT","AT1","AT12","Niederösterreich","ESF","2011","2007-2013","5163363","8194233","537723","17013"
"AT","AT1","AT12","Niederösterreich","ESF","2012","2007-2013","16929529","15496824","537723","17013"
"AT","AT1","AT12","Niederösterreich","ESF","2013","2007-2013","11367615","10090666","226550","7168"
"AT","AT1","AT12","Niederösterreich","ESF","2014","2007-2013","6410359","4759102","292958","9269"
"AT","AT1","AT13","Wien","EAFRD","1995","1994-1999","0","588","77","2"
"AT","AT1","AT13","Wien","EAFRD","1996","1994-1999","1832","1244","77","2"
"AT","AT1","AT13","Wien","EAFRD","1997","1994-1999","0","441","57","2"
"AT","AT1","AT13","Wien","EAFRD","1998","1994-1999","1374","933","57","2"
"AT","AT1","AT13","Wien","EAFRD","1999","1994-1999","0","49","70","2"
"AT","AT1","AT13","Wien","EAFRD","2000","1994-1999","0","392","85","3"
"AT","AT1","AT13","Wien","EAFRD","2001","1994-1999","1374","933","57","2"
"AT","AT1","AT13","Wien","EAFRD","2000","2000-2006","0","63004","5737","182"
"AT","AT1","AT13","Wien","EAFRD","2001","2000-2006","135489","91781","3980","126"
"AT","AT1","AT13","Wien","EAFRD","2002","2000-2006","41496","76074","3149","100"
"AT","AT1","AT13","Wien","EAFRD","2003","2000-2006","115855","150759","3178","101"
"AT","AT1","AT13","Wien","EAFRD","2004","2000-2006","190916","264612","35997","1139"
"AT","AT1","AT13","Wien","EAFRD","2005","2000-2006","311870","332875","35784","1132"
"AT","AT1","AT13","Wien","EAFRD","2006","2000-2006","304914","368052","35784","1132"
"AT","AT1","AT13","Wien","EAFRD","2007","2000-2006","448148","359070","31575","999"
"AT","AT1","AT13","Wien","EAFRD","2008","2000-2006","322562","187528","13046","413"
"AT","AT1","AT13","Wien","EAFRD","2009","2000-2006","0","25893","2049","65"
"AT","AT1","AT13","Wien","EAFRD","2010","2000-2006","48398","0","0","0"
"AT","AT1","AT13","Wien","EAFRD","2007","2007-2013","2382450","2863757","140086","4432"
"AT","AT1","AT13","Wien","EAFRD","2008","2007-2013","2752880","2801166","14054","445"
"AT","AT1","AT13","Wien","EAFRD","2009","2007-2013","3029055","2993770","10270","325"
"AT","AT1","AT13","Wien","EAFRD","2010","2007-2013","2827240","2782172","13117","415"
"AT","AT1","AT13","Wien","EAFRD","2011","2007-2013","2569470","2599929","8865","280"
"AT","AT1","AT13","Wien","EAFRD","2012","2007-2013","2743681","2764267","8865","280"
"AT","AT1","AT13","Wien","EAFRD","2013","2007-2013","2861425","2561277","87359","2764"
"AT","AT1","AT13","Wien","EAFRD","2014","2007-2013","1144703","996452","43149","1365"
"AT","AT1","AT13","Wien","EAFRD","2015","2007-2013","296768","244882","15102","478"
"AT","AT1","AT13","Wien","ERDF","1994","1994-1999","0","1368057","136625","4323"
"AT","AT1","AT13","Wien","ERDF","1995","1994-1999","3419000","2511142","90666","2869"
"AT","AT1","AT13","Wien","ERDF","1996","1994-1999","1150112","765049","38455","1217"
"AT","AT1","AT13","Wien","ERDF","1997","1994-1999","187774","1053721","86480","2736"
"AT","AT1","AT13","Wien","ERDF","1998","1994-1999","2351919","1711088","193876","6134"
"AT","AT1","AT13","Wien","ERDF","1999","1994-1999","485099","1298316","149329","4725"
"AT","AT1","AT13","Wien","ERDF","2000","1994-1999","2525707","1821516","134421","4253"
"AT","AT1","AT13","Wien","ERDF","2001","1994-1999","328075","841079","181127","5731"
"AT","AT1","AT13","Wien","ERDF","2002","1994-1999","283313","1382651","92106","2914"
"AT","AT1","AT13","Wien","ERDF","2003","1994-1999","2016052","0","0","0"
"AT","AT1","AT13","Wien","ERDF","2004","1994-1999","5567","0","0","0"
"AT","AT1","AT13","Wien","ERDF","2000","2000-2006","0","561118","52013","1646"
"AT","AT1","AT13","Wien","ERDF","2001","2000-2006","1230285","748821","44629","1412"
"AT","AT1","AT13","Wien","ERDF","2002","2000-2006","174646","816489","59496","1882"
"AT","AT1","AT13","Wien","ERDF","2003","2000-2006","1581927","2006706","39375","1246"
"AT","AT1","AT13","Wien","ERDF","2004","2000-2006","2513281","2013847","263343","8332"
"AT","AT1","AT13","Wien","ERDF","2005","2000-2006","1131278","1786197","275560","8718"
"AT","AT1","AT13","Wien","ERDF","2006","2000-2006","2167640","2676618","275560","8718"
"AT","AT1","AT13","Wien","ERDF","2007","2000-2006","3198412","2785036","227564","7200"
"AT","AT1","AT13","Wien","ERDF","2008","2000-2006","2551341","1841392","140935","4459"
"AT","AT1","AT13","Wien","ERDF","2009","2000-2006","1507201","819785","63720","2016"
"AT","AT1","AT13","Wien","ERDF","2007","2007-2013","503037","785753","31275","990"
"AT","AT1","AT13","Wien","ERDF","2008","2007-2013","754556","1609135","94537","2991"
"AT","AT1","AT13","Wien","ERDF","2009","2007-2013","3035394","2696026","37542","1188"
"AT","AT1","AT13","Wien","ERDF","2010","2007-2013","2129635","2789110","72954","2308"
"AT","AT1","AT13","Wien","ERDF","2011","2007-2013","3889748","2432346","161224","5101"
"AT","AT1","AT13","Wien","ERDF","2012","2007-2013","0","2483371","161224","5101"
"AT","AT1","AT13","Wien","ERDF","2013","2007-2013","6368293","4396971","474212","15003"
"AT","AT1","AT13","Wien","ERDF","2014","2007-2013","0","2190729","580930","18380"
"AT","AT1","AT13","Wien","ERDF","2015","2007-2013","7213606","4510828","298992","9460"
"AT","AT1","AT13","Wien","ESF","2000","2000-2006","10297140","12933534","1051142","33257"
"AT","AT1","AT13","Wien","ESF","2001","2000-2006","19357064","19939317","232147","7345"
"AT","AT1","AT13","Wien","ESF","2002","2000-2006","23632110","23268540","144957","4586"
"AT","AT1","AT13","Wien","ESF","2003","2000-2006","20962683","22127123","464267","14689"
"AT","AT1","AT13","Wien","ESF","2004","2000-2006","29512289","30072805","223480","7071"
"AT","AT1","AT13","Wien","ESF","2005","2000-2006","33627737","32817052","323224","10226"
"AT","AT1","AT13","Wien","ESF","2006","2000-2006","27675484","24790494","323224","10226"
"AT","AT1","AT13","Wien","ESF","2007","2000-2006","6493164","5791919","279589","8846"
"AT","AT1","AT13","Wien","ESF","2008","2000-2006","1344449","2202829","342240","10828"
"AT","AT1","AT13","Wien","ESF","2009","2000-2006","0","6605400","415247","13138"
"AT","AT1","AT13","Wien","ESF","2013","2000-2006","7646892","0","0","0"
"AT","AT1","AT13","Wien","ESF","2007","2007-2013","2899079","4019248","198735","6288"
"AT","AT1","AT13","Wien","ESF","2008","2007-2013","4348619","11014310","1182596","37416"
"AT","AT1","AT13","Wien","ESF","2009","2007-2013","30225555","25963754","756109","23922"
"AT","AT1","AT13","Wien","ESF","2010","2007-2013","13680780","13043992","112976","3574"
"AT","AT1","AT13","Wien","ESF","2011","2007-2013","11208700","17788154","1167296","36932"
"AT","AT1","AT13","Wien","ESF","2012","2007-2013","36750854","33640721","1167296","36932"
"AT","AT1","AT13","Wien","ESF","2013","2007-2013","24676977","21904957","491799","15560"
"AT","AT1","AT13","Wien","ESF","2014","2007-2013","13915696","10331124","635958","20121"
"AT","AT2","AT21","Kärnten","EAFRD","1994","1994-1999","0","660058","82358","2606"
"AT","AT2","AT21","Kärnten","EAFRD","1995","1994-1999","1989144","1845106","17972","569"
"AT","AT2","AT21","Kärnten","EAFRD","1996","1994-1999","1555072","2386960","103797","3284"
"AT","AT2","AT21","Kärnten","EAFRD","1997","1994-1999","4062042","5006569","117852","3729"
"AT","AT2","AT21","Kärnten","EAFRD","1998","1994-1999","6908461","5611985","161766","5118"
"AT","AT2","AT21","Kärnten","EAFRD","1999","1994-1999","3001413","3590680","76890","2433"
"AT","AT2","AT21","Kärnten","EAFRD","2000","1994-1999","4727871","3232575","193293","6116"
"AT","AT2","AT21","Kärnten","EAFRD","2001","1994-1999","5806","265279","72305","2288"
"AT","AT2","AT21","Kärnten","EAFRD","2002","1994-1999","0","703554","43596","1379"
"AT","AT2","AT21","Kärnten","EAFRD","2003","1994-1999","1052956","0","0","0"
"AT","AT2","AT21","Kärnten","EAFRD","2000","2000-2006","0","197523","17986","569"
"AT","AT2","AT21","Kärnten","EAFRD","2001","2000-2006","424770","287742","12478","395"
"AT","AT2","AT21","Kärnten","EAFRD","2002","2000-2006","130094","238498","9871","312"
"AT","AT2","AT21","Kärnten","EAFRD","2003","2000-2006","363216","472644","9964","315"
"AT","AT2","AT21","Kärnten","EAFRD","2004","2000-2006","598538","829575","111449","3526"
"AT","AT2","AT21","Kärnten","EAFRD","2005","2000-2006","977738","1052905","117435","3715"
"AT","AT2","AT21","Kärnten","EAFRD","2006","2000-2006","955932","1156257","117435","3715"
"AT","AT2","AT21","Kärnten","EAFRD","2007","2000-2006","1404984","1115203","95431","3019"
"AT","AT2","AT21","Kärnten","EAFRD","2008","2000-2006","1011259","586742","40395","1278"
"AT","AT2","AT21","Kärnten","EAFRD","2009","2000-2006","0","81175","6425","203"
"AT","AT2","AT21","Kärnten","EAFRD","2010","2000-2006","151733","0","0","0"
"AT","AT2","AT21","Kärnten","EAFRD","2007","2007-2013","43224445","51956734","2541565","80412"
